Initial Solid Degradable Fraction,Placement Dry Density,Placement Moisture Content,Maximum Hydrolysis Rate,Thermal Conductivity,Specific Heat Capacity,Injection Pressure,Injection Duration,Time,Methane Generation,Max Temp
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0,1.03E-12,0
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.14,5.96E-06,4.9970326
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.279,2.18E-05,5.3641998
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.418,0.001763895,17.763934
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.558,0.080946152,30.463845
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.697,0.447318626,31.419326
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.836,1.111744206,32.462214
36.4,653.7,43.5,2500,0.5,1649.6,0,0,0.975,1.900748803,32.695836
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.115,2.739057038,33.292304
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.254,3.620615737,34.014016
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.393,4.561237858,34.908883
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.533,5.590055664,36.03961
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.672,6.722646967,37.315631
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.811,7.974281686,38.737854
36.4,653.7,43.5,2500,0.5,1649.6,0,0,1.95,9.306647136,40.245035
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.09,10.69893815,41.798866
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.229,12.13026249,43.423896
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.368,13.63030868,45.225476
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.507,15.23276371,47.191179
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.647,16.98748268,49.152489
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.786,18.85865924,51.106637
36.4,653.7,43.5,2500,0.5,1649.6,0,0,2.925,20.8029604,52.93591
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.065,22.78400046,54.635585
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.204,24.74142279,56.177443
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.343,26.67598688,57.565712
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.482,28.5956987,58.791606
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.622,30.55509827,59.868201
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.761,32.52781514,60.825671
36.4,653.7,43.5,2500,0.5,1649.6,0,0,3.9,34.47701035,61.719847
